,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial do Cabo,-22.9661,-42.0278,77.0,78,0,16.11,BR,1611787646
1,Mahébourg,-20.4081,57.7,73.4,88,20,8.05,MU,1611787758
2,Trelew,-43.249,-65.3051,68.22,33,83,18.03,AR,1611787539
3,Mar del Plata,-38.0023,-57.5575,68.0,59,0,11.5,AR,1611787499
4,Touros,-5.1989,-35.4608,80.6,74,20,11.5,BR,1611787174
5,Busselton,-33.65,115.3333,53.01,83,0,1.01,AU,1611787607
6,Roald,62.5833,6.1333,30.2,100,90,13.8,NO,1611787758
7,Nouadhibou,20.931,-17.0347,68.0,73,0,9.22,MR,1611787759
8,Zheleznodorozhnyy,55.7503,38.0042,32.0,93,0,4.47,RU,1611787759
9,Rikitea,-23.1203,-134.9692,79.99,73,91,11.79,PF,1611787643
10,Salento,4.6375,-75.5703,78.8,57,40,3.44,CO,1611787759
11,Port Alfred,-33.5906,26.891,63.0,91,59,1.01,ZA,1611787759
12,Saskylakh,71.9167,114.0833,-41.6,80,93,1.5,RU,1611787759
13,Chateaubelair,13.2833,-61.25,78.8,73,20,12.66,VC,1611787760
14,Collierville,35.042,-89.6645,41.0,93,75,11.5,US,1611787760
15,Saint-Philippe,-21.3585,55.7679,77.0,69,0,5.75,RE,1611787760
16,Progreso,21.2833,-89.6667,77.88,82,0,14.41,MX,1611787760
17,Ukiah,39.1502,-123.2078,51.8,66,90,16.11,US,1611787760
18,Narón,43.5167,-8.1528,60.01,82,75,11.5,ES,1611787761
19,Lufilufi,-13.8745,-171.5986,77.0,88,90,10.36,WS,1611787761
20,Airai,-8.9266,125.4092,62.98,100,100,3.27,TL,1611787761
21,Alexandria,31.2156,29.9553,59.0,55,40,13.8,EG,1611787675
22,Kropotkin,45.4375,40.5756,37.8,81,93,9.42,RU,1611787761
23,Yellowknife,62.456,-114.3525,-9.0,70,75,3.44,CA,1611787761
24,Boueni,-12.9025,45.0761,78.8,83,0,3.44,YT,1611787762
25,Caravelas,-17.7125,-39.2481,76.06,81,100,5.08,BR,1611787762
26,Tongren,27.7172,109.1853,39.31,85,53,1.3,CN,1611787248
27,Berlevåg,70.8578,29.0864,26.6,63,75,24.16,NO,1611787762
28,New Norfolk,-42.7826,147.0587,59.0,55,63,1.01,AU,1611787762
29,Ust-Nera,64.5667,143.2,-27.98,75,100,3.6,RU,1611787762
30,Tasiilaq,65.6145,-37.6368,19.4,49,90,23.02,GL,1611787763
31,Leningradskiy,69.3833,178.4167,-16.69,87,100,3.69,RU,1611787763
32,Mataura,-46.1927,168.8643,53.01,76,97,14.0,NZ,1611787763
33,Hilo,19.7297,-155.09,75.2,73,75,16.11,US,1611787763
34,Butaritari,3.0707,172.7902,80.2,81,82,13.24,KI,1611787763
35,Pauini,-7.7136,-66.9764,77.45,90,36,1.72,BR,1611787764
36,Toora-Khem,52.4675,96.11,1.99,91,100,3.06,RU,1611787194
37,Mogadishu,2.0371,45.3438,77.18,84,81,19.82,SO,1611787764
38,Slave Lake,55.2834,-114.769,5.0,66,90,2.44,CA,1611787764
39,Hobart,-42.8794,147.3294,59.0,47,75,8.05,AU,1611787643
40,Chui,-33.6971,-53.4616,70.56,85,43,10.13,UY,1611787764
41,Kapaa,22.0752,-159.319,75.99,59,89,4.0,US,1611787764
42,Albany,42.6001,-73.9662,28.99,61,87,11.99,US,1611787765
43,Ribeira Grande,38.5167,-28.7,61.61,81,50,22.93,PT,1611787765
44,Nikolskoye,59.7035,30.7861,34.0,86,90,2.24,RU,1611787765
45,Henties Bay,-22.116,14.2845,68.0,85,6,6.13,NA,1611787214
46,Emba,48.8264,58.1442,14.04,92,0,11.86,KZ,1611787182
47,Fortuna,40.5982,-124.1573,48.0,93,75,18.41,US,1611787179
